coordinate_mean,exact_fraction,exact_in_wilson95,exact_probability,n,observed_probability,successes,threshold,trials,wilson95_high,wilson95_low,z_score
1,11756638905368616011414050501310355554617941909569536/31500214267261391312908183811814524233341217041015625,True,0.3732240931956915,34,0.3713,11139,35,30000,0.3767834370083317,0.3658495184884437,-0.6890420851007422
1,524744532468751923546122657597368049278513737089035272057324643668607677682302892208099365234375/1413648658336838689425757250322558119141468666297262325417185766401503043287576967313439143755776,True,0.37119869167924313,55,0.3697,11091,56,30000,0.37517878785210274,0.36425457734781824,-0.5372952321202157
1,313119843606264301926053344163576361349265045995115651405929697601914062309331717222037671868698420619053704956499930323034173850662765737986672484408801585719796136592384409/846414978287404359325441419117950686115831126693279963600017397166190414922589311328900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,True,0.3699365578806463,89,0.3708,11124,90,30000,0.3762819910513628,0.3653510924776457,0.30976909790066076
1,1/2,False,0.5,1,0.5070666666666667,15212,2,30000,0.5127227633572579,0.501408760453849,2.447965141364013
1,4/9,True,0.4444444444444444,2,0.4414,13242,3,30000,0.44702608409119093,0.43578892128651725,-1.0611974368608186
1,27/64,True,0.421875,3,0.4265333333333333,12796,4,30000,0.432138908821975,0.4209465700474612,1.633760602732346
1,3125/7776,True,0.4018775720164609,5,0.4046,12138,6,30000,0.41016585862824173,0.39905856992181565,0.9617785762103921
1,16777216/43046721,True,0.38974434312894585,8,0.39443333333333336,11833,9,30000,0.39997689525605484,0.38891680328274025,1.6653063408459237
1,302875106592253/793714773254144,True,0.3815918725444634,13,0.3838,11514,14,30000,0.3893175614216683,0.378312193269282,0.7873133447278265
1,5842587018385982521381124421/15519448971100888972574851072,True,0.3764687154334921,21,0.37976666666666664,11393,22,30000,0.3852736407175722,0.3742904801000576,1.178993162866745
1,11756638905368616011414050501310355554617941909569536/31500214267261391312908183811814524233341217041015625,True,0.3732240931956915,34,0.37633333333333335,11290,35,30000,0.3818309779504285,0.3708673553552014,1.1134581798412992
1,524744532468751923546122657597368049278513737089035272057324643668607677682302892208099365234375/1413648658336838689425757250322558119141468666297262325417185766401503043287576967313439143755776,True,0.37119869167924313,55,0.3690333333333333,11071,56,30000,0.37451016504880735,0.3635900375274243,-0.7763015777044906
1,313119843606264301926053344163576361349265045995115651405929697601914062309331717222037671868698420619053704956499930323034173850662765737986672484408801585719796136592384409/846414978287404359325441419117950686115831126693279963600017397166190414922589311328900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,True,0.3699365578806463,89,0.36893333333333334,11068,90,30000,0.3744098706636663,0.363490357519012,-0.3599175394009371
1,1/2,True,0.5,1,0.4982,14946,2,30000,0.5038577602617297,0.49254270065430905,-0.623538290724804
1,4/9,True,0.4444444444444444,2,0.4416,13248,3,30000,0.4472263250555563,0.4359886291092587,-0.9914837366290928
1,27/64,True,0.421875,3,0.4233,12699,4,30000,0.42890043319980875,0.4177192069447342,0.4997729214082895
1,3125/7776,True,0.4018775720164609,5,0.40336666666666665,12101,6,30000,0.4089299528438478,0.39782812485238417,0.5260669303933564
1,16777216/43046721,True,0.38974434312894585,8,0.3878,11634,9,30000,0.39332766616193876,0.38230106427114746,-0.6905382183106322
1,302875106592253/793714773254144,True,0.3815918725444634,13,0.3844,11532,14,30000,0.3899191021608136,0.3789104988914571,1.0012448393307705
1,5842587018385982521381124421/15519448971100888972574851072,True,0.3764687154334921,21,0.38016666666666665,11405,22,30000,0.3856747086435521,0.37468930974829134,1.3219902030906416
1,11756638905368616011414050501310355554617941909569536/31500214267261391312908183811814524233341217041015625,True,0.3732240931956915,34,0.3714,11142,35,30000,0.3768837254472322,0.3659492044430967,-0.6532308215588513
1,524744532468751923546122657597368049278513737089035272057324643668607677682302892208099365234375/1413648658336838689425757250322558119141468666297262325417185766401503043287576967313439143755776,True,0.37119869167924313,55,0.37456666666666666,11237,56,30000,0.3800593965442837,0.3691060558085694,1.2074510906450446
